GrLivArea,BedroomAbvGr,TotalBathrooms,SalePrice
2034.0,3.0,3.5,219500
2473.0,4.0,2.5,317000
2207.0,3.0,3.0,180000
1479.0,3.0,3.0,226000
747.0,2.0,1.0,80000
2287.0,3.0,2.0,225000
2223.0,3.0,3.0,244000
845.0,2.0,2.0,129500
1718.0,3.0,2.5,185000
1086.0,3.0,2.0,144900
1605.0,3.0,2.0,107400
988.0,2.0,2.0,91000
952.0,2.0,1.0,135750
1285.0,2.0,2.0,127000
1768.0,4.0,2.0,136500
1230.0,2.0,1.5,110000
2142.0,4.0,2.5,193500
1337.0,2.0,3.0,153500
1563.0,3.0,2.0,245000
1065.0,3.0,1.5,126500
1474.0,3.0,2.5,168500
2417.0,4.0,2.5,260000
1560.0,3.0,2.5,174000
1224.0,2.0,2.5,164500
1526.0,2.0,1.0,85000
990.0,3.0,2.0,123600
1040.0,2.0,1.0,109900
1235.0,2.0,1.0,98600
964.0,2.0,2.0,163500
2291.0,4.0,2.5,133900
1786.0,3.0,3.5,204750
1470.0,3.0,2.5,185000
1588.0,3.0,2.0,214000
960.0,3.0,2.0,94750
835.0,2.0,1.0,83000
1225.0,3.0,2.5,128950
1610.0,3.0,3.0,205000
1732.0,3.0,2.5,178000
1535.0,4.0,2.0,118964
1226.0,3.0,2.0,198900
1818.0,4.0,1.5,169500
1992.0,3.0,2.5,250000
1047.0,2.0,1.0,100000
789.0,2.0,1.0,115000
1517.0,3.0,2.0,115000
1844.0,3.0,2.0,190000
1855.0,4.0,2.0,136900
1430.0,3.0,2.5,180000
2696.0,4.0,3.5,383970
2259.0,3.0,3.0,217000
2320.0,3.0,3.5,259500
1458.0,2.0,2.5,176000
1092.0,3.0,1.5,139000
1125.0,2.0,1.5,155000
3222.0,5.0,4.0,320000
1456.0,3.0,2.5,163990
988.0,1.0,2.0,180000
1123.0,3.0,1.0,100000
1080.0,3.0,1.0,136000
1199.0,2.0,2.0,153900
1586.0,3.0,2.0,181000
754.0,2.0,2.0,84500
958.0,2.0,2.0,128000
840.0,3.0,1.0,87000
1348.0,3.0,1.5,155000
1053.0,3.0,2.0,150000
2157.0,4.0,2.5,226000
2054.0,3.0,3.5,244000
1327.0,3.0,2.0,150750
1296.0,2.0,3.0,220000
1721.0,3.0,2.5,180000
1682.0,3.0,2.0,174000
1214.0,3.0,2.0,143000
1959.0,5.0,3.0,171000
1852.0,3.0,2.5,230000
1764.0,3.0,3.5,231500
864.0,3.0,1.0,115000
1734.0,3.0,3.0,260000
1385.0,4.0,2.0,166000
1501.0,3.0,3.0,204000
1728.0,6.0,3.0,125000
1709.0,3.0,2.0,130000
875.0,2.0,2.0,105000
2035.0,3.0,2.5,222500
1080.0,3.0,2.0,141000
1344.0,3.0,1.0,115000
969.0,3.0,1.5,122000
1710.0,2.0,3.0,372402
1993.0,4.0,2.5,190000
1252.0,1.0,2.0,235000
1200.0,4.0,1.0,125000
1096.0,2.0,1.0,79000
1040.0,2.0,1.0,109500
1968.0,4.0,2.5,269500
1947.0,3.0,2.5,254900
2462.0,4.0,3.5,320000
1232.0,3.0,2.0,162500
2668.0,3.0,3.5,412500
1541.0,3.0,2.0,220000
882.0,1.0,1.0,103200
1616.0,3.0,2.0,152000
1355.0,4.0,3.0,127500
1867.0,2.0,2.0,190000
2161.0,3.0,2.5,325624
1720.0,3.0,2.5,183500
1707.0,2.0,2.5,228000
1382.0,2.0,1.5,128500
1656.0,3.0,2.0,215000
1767.0,2.0,3.0,239000
1362.0,3.0,2.5,163000
1651.0,3.0,3.0,184000
2158.0,4.0,3.0,243000
2060.0,4.0,3.0,211000
1920.0,4.0,3.0,172500
2234.0,1.0,3.0,501837
968.0,2.0,1.0,100000
1525.0,3.0,2.5,177000
1802.0,4.0,1.5,200100
1340.0,3.0,1.0,120000
2082.0,3.0,2.5,200000
1252.0,3.0,1.0,127000
3608.0,4.0,2.5,475000
1217.0,3.0,3.0,173000
1656.0,3.0,2.5,135000
1224.0,2.0,3.0,153337
1593.0,0.0,2.5,286000
2727.0,3.0,2.5,315000
1479.0,4.0,2.5,184000
1431.0,3.0,3.0,192000
1709.0,3.0,2.0,130000
864.0,3.0,1.0,127000
1456.0,3.0,2.5,148500
1726.0,3.0,3.0,311872
3112.0,4.0,3.5,235000
2229.0,5.0,1.0,104000
1713.0,3.0,3.0,274900
1121.0,2.0,2.0,140000
1279.0,3.0,2.5,171500
1310.0,2.0,2.0,112000
848.0,1.0,2.0,149000
1284.0,2.0,1.5,110000
1442.0,3.0,2.0,180500
1696.0,3.0,1.5,143900
1100.0,3.0,2.0,141000
2062.0,3.0,3.5,277000
1092.0,3.0,2.0,145000
864.0,2.0,2.0,98000
1212.0,3.0,2.0,186000
1852.0,3.0,3.5,252678
990.0,3.0,1.5,156000
1392.0,3.0,1.5,161750
1236.0,2.0,1.5,134450
1436.0,3.0,3.0,210000
1328.0,3.0,1.0,107000
1954.0,3.0,2.0,311500
1248.0,2.0,2.0,167240
1498.0,2.0,2.0,204900
2267.0,4.0,2.5,200000
1552.0,3.0,3.5,179900
864.0,2.0,1.0,97000
2392.0,3.0,2.0,386250
1302.0,3.0,2.5,112000
2520.0,4.0,2.5,290000
987.0,2.0,1.5,106000
912.0,3.0,1.0,125000
1555.0,2.0,2.0,192500
1194.0,3.0,2.0,148000
2794.0,4.0,3.5,403000
987.0,2.0,1.5,94500
894.0,3.0,2.0,128200
1960.0,4.0,3.5,216500
987.0,2.0,1.5,89500
1414.0,3.0,2.0,185500
1744.0,3.0,2.5,194500
1694.0,3.0,2.0,318000
1487.0,3.0,1.5,113000
1566.0,3.0,3.0,262500
866.0,2.0,1.0,110500
1440.0,3.0,1.0,79000
1217.0,3.0,1.5,120000
2110.0,3.0,3.5,205000
1872.0,3.0,2.5,241500
1928.0,4.0,2.0,137000
1375.0,2.0,1.0,140000
1668.0,3.0,2.5,180000
2144.0,4.0,2.5,277000
1306.0,3.0,1.0,76500
1625.0,2.0,3.5,235000
1640.0,3.0,2.5,173000
1302.0,3.0,2.5,158000
1314.0,3.0,2.0,145000
2291.0,4.0,2.5,230000
1728.0,3.0,2.5,207500
1604.0,3.0,3.5,220000
1792.0,3.0,2.5,231500
882.0,2.0,1.0,97000
1382.0,3.0,2.0,176000
2574.0,3.0,2.5,276000
1212.0,3.0,2.0,151000
1316.0,3.0,2.0,130000
764.0,2.0,1.0,73000
1422.0,3.0,2.0,175500
1511.0,3.0,3.5,185000
2192.0,4.0,2.5,179500
778.0,2.0,1.0,120500
1113.0,3.0,2.5,148000
1939.0,3.0,2.5,266000
1363.0,2.0,2.0,241500
2270.0,4.0,2.5,290000
1632.0,3.0,3.0,139000
816.0,2.0,1.0,124500
1548.0,3.0,2.5,205000
1560.0,3.0,2.0,201000
864.0,2.0,1.0,141000
2121.0,3.0,2.5,415298
2022.0,4.0,2.5,192000
1982.0,3.0,2.5,228500
1262.0,2.0,2.0,185000
1314.0,2.0,3.0,207500
1468.0,3.0,2.0,244600
1575.0,2.0,3.0,179200
1250.0,2.0,2.5,164700
1734.0,3.0,1.5,159000
858.0,3.0,1.0,88000
900.0,3.0,1.0,122000
1396.0,3.0,1.0,153575
1919.0,3.0,2.5,233230
1716.0,6.0,3.0,135900
1716.0,3.0,1.5,131000
2263.0,3.0,3.5,235000
1644.0,3.0,2.0,167000
1003.0,3.0,2.0,142500
1558.0,4.0,1.5,152000
1950.0,3.0,2.5,239000
1743.0,3.0,2.5,175000
1152.0,3.0,1.5,158500
1336.0,2.0,2.0,157000
2452.0,4.0,2.5,267000
1541.0,3.0,2.0,205000
894.0,3.0,2.0,149900
3493.0,3.0,3.0,295000
2000.0,3.0,3.0,305900
2243.0,4.0,3.5,225000
1406.0,3.0,1.0,89500
861.0,1.0,1.0,82500
1944.0,3.0,3.0,360000
1501.0,3.0,2.5,165600
972.0,2.0,2.0,132000
1118.0,3.0,2.0,119900
2036.0,3.0,4.0,375000
1641.0,3.0,2.0,178000
1432.0,3.0,3.5,188500
2353.0,4.0,3.5,260000
1959.0,3.0,2.5,270000
2646.0,4.0,3.5,260000
1472.0,3.0,3.0,187500
2596.0,4.0,3.5,342643
2468.0,4.0,3.5,354000
2730.0,4.0,3.5,301000
1163.0,3.0,2.0,126175
2978.0,5.0,2.5,242000
803.0,2.0,1.0,87000
1719.0,1.0,3.5,324000
1383.0,3.0,1.5,145250
2134.0,5.0,2.0,214500
1192.0,3.0,1.0,78000
1728.0,6.0,2.5,119000
1056.0,3.0,2.0,139000
1629.0,3.0,3.0,284000
1358.0,2.0,3.0,207000
1638.0,3.0,3.5,192000
1786.0,3.0,4.0,228950
1922.0,3.0,3.0,377426
1536.0,3.0,3.0,214000
1621.0,3.0,3.0,202500
1215.0,3.0,1.0,155000
1908.0,4.0,2.5,202900
841.0,2.0,1.0,82000
1040.0,2.0,2.0,87500
1684.0,2.0,2.0,266000
1112.0,3.0,1.5,85000
1577.0,3.0,1.0,140200
958.0,2.0,1.0,151500
1478.0,3.0,3.0,157500
1626.0,2.0,3.5,154000
2728.0,4.0,3.5,437154
1869.0,2.0,2.0,318061
1453.0,2.0,2.5,190000
1111.0,3.0,1.5,95000
720.0,2.0,1.0,105900
1595.0,2.0,1.0,140000
1200.0,3.0,3.0,177500
1167.0,3.0,3.0,173000
1142.0,3.0,2.5,134000
1352.0,3.0,1.5,130000
1924.0,3.0,3.5,280000
912.0,2.0,2.0,156000
1505.0,3.0,2.0,145000
1922.0,4.0,3.0,198500
987.0,2.0,1.5,118000
1574.0,3.0,3.5,190000
1344.0,3.0,1.0,147000
1394.0,3.0,2.5,159000
1431.0,3.0,1.5,165000
1268.0,2.0,1.0,132000
1287.0,3.0,2.0,162000
1664.0,3.0,2.5,172400
1588.0,4.0,2.0,134432
752.0,2.0,2.0,125000
1319.0,3.0,2.0,123000
1928.0,4.0,2.5,219500
904.0,1.0,1.5,61000
914.0,2.0,1.0,148000
2466.0,4.0,3.0,340000
1856.0,1.0,2.5,394432
1800.0,3.0,2.5,179000
1691.0,3.0,2.0,127000
1301.0,2.0,3.0,187750
1797.0,3.0,2.5,213500
784.0,2.0,1.0,76000
1953.0,3.0,3.5,240000
1269.0,2.0,2.0,192000
1184.0,5.0,1.0,81000
1125.0,3.0,2.0,125000
1479.0,3.0,2.0,191000
2332.0,3.0,3.5,426000
1367.0,4.0,2.0,119000
1961.0,3.0,3.5,215000
882.0,3.0,1.0,106500
788.0,2.0,1.0,100000
1034.0,2.0,1.0,109000
1144.0,3.0,2.0,129000
894.0,2.0,1.0,123000
1812.0,4.0,2.0,169500
1077.0,2.0,1.0,67000
1550.0,2.0,3.0,241000
1288.0,1.0,2.5,245500
1310.0,3.0,2.0,164990
672.0,2.0,1.0,108000
2263.0,4.0,2.5,258000
1572.0,3.0,2.5,168000
1620.0,3.0,3.0,150000
1639.0,3.0,1.0,115000
1680.0,4.0,2.0,177000
2172.0,3.0,2.5,280000
2078.0,3.0,3.5,339750
1276.0,3.0,1.0,60000
1056.0,3.0,2.0,145000
1478.0,2.0,3.5,222000
1028.0,2.0,1.0,115000
2097.0,3.0,3.0,228000
1340.0,3.0,2.0,181134
1400.0,3.0,1.5,149500
2624.0,4.0,3.5,239000
1134.0,3.0,2.5,126000
1056.0,3.0,2.0,142000
1344.0,2.0,4.0,206300
1602.0,3.0,2.5,215000
988.0,2.0,1.0,113000
2630.0,4.0,3.5,315000
1196.0,2.0,2.0,139000
1389.0,3.0,1.5,135000
1644.0,2.0,3.5,275000
907.0,3.0,1.0,109008
1208.0,2.0,3.0,195400
1412.0,3.0,3.0,175000
987.0,2.0,1.5,85400
1198.0,4.0,1.0,79900
1365.0,2.0,2.5,122500
1604.0,3.0,2.5,181000
630.0,1.0,2.0,81000
1661.0,3.0,3.5,212000
1118.0,2.0,1.0,116000
904.0,2.0,1.0,119000
694.0,2.0,1.0,90350
1196.0,3.0,1.0,110000
2402.0,2.0,3.0,555000
1440.0,4.0,2.0,118000
1573.0,3.0,2.0,162900
1258.0,2.0,2.0,172500
1908.0,4.0,3.5,210000
1689.0,3.0,1.0,127500
1888.0,2.0,2.5,190000
1886.0,4.0,2.5,199900
1376.0,3.0,2.0,119500
1183.0,2.0,1.5,120000
813.0,2.0,1.0,110000
1533.0,2.0,3.0,280000
1756.0,3.0,3.5,204000
1590.0,3.0,2.5,210000
1728.0,4.0,4.0,188000
1242.0,3.0,1.5,175500
1344.0,4.0,1.0,98000
1663.0,2.0,2.0,256000
1666.0,3.0,1.0,161000
1203.0,3.0,2.0,110000
1935.0,3.0,3.5,263435
1135.0,3.0,2.0,155000
864.0,3.0,1.0,62383
1660.0,3.0,1.5,188700
1040.0,3.0,2.0,124000
1414.0,2.0,2.0,178740
1277.0,2.0,2.0,167000
1644.0,3.0,1.5,146500
1634.0,3.0,2.0,250000
1710.0,3.0,2.5,187000
1502.0,1.0,2.5,212000
1969.0,3.0,2.5,190000
1072.0,2.0,2.0,148000
1976.0,2.0,3.0,440000
1652.0,2.0,3.0,251000
970.0,2.0,2.0,132500
1493.0,3.0,3.0,208900
2643.0,3.0,2.5,380000
1718.0,3.0,3.0,297000
1131.0,2.0,1.0,89471
1850.0,3.0,3.0,326000
1792.0,2.0,3.0,374000
1826.0,4.0,2.5,155000
1216.0,2.0,3.0,164000
999.0,3.0,2.0,132500
1113.0,3.0,1.0,147000
1073.0,3.0,2.5,156000
1484.0,3.0,2.0,175000
2414.0,3.0,2.0,160000
630.0,1.0,2.0,86000
1304.0,3.0,1.5,115000
1578.0,3.0,2.0,133000
1456.0,3.0,2.5,172785
1269.0,3.0,1.5,155000
886.0,2.0,1.0,91300
720.0,2.0,1.0,34900
3228.0,4.0,4.0,430000
1820.0,4.0,3.0,184000
899.0,3.0,1.0,130000
912.0,2.0,1.5,120000
1218.0,3.0,1.5,113000
1768.0,3.0,2.5,226700
1214.0,2.0,2.0,140000
1801.0,1.0,3.0,289000
1322.0,3.0,3.0,147000
1960.0,4.0,2.0,124500
1911.0,3.0,2.5,215000
1218.0,2.0,2.0,208300
1378.0,3.0,2.0,161000
1041.0,3.0,2.0,124500
1363.0,2.0,2.0,164900
1368.0,2.0,2.0,202665
864.0,3.0,2.0,129900
1080.0,3.0,1.5,134000
789.0,2.0,1.0,96500
2020.0,3.0,3.5,402861
2119.0,3.0,2.5,158000
2344.0,3.0,2.5,265000
1796.0,3.0,3.5,211000
2080.0,3.0,1.5,234000
1294.0,3.0,2.0,106250
1244.0,3.0,1.5,150000
1664.0,3.0,2.0,159000
4676.0,3.0,4.5,184750
2398.0,3.0,3.5,315750
1266.0,3.0,2.0,176000
928.0,2.0,1.0,132000
2713.0,3.0,3.5,446261
605.0,2.0,2.0,86000
2515.0,4.0,4.0,200624
1509.0,3.0,3.0,175000
1362.0,3.0,2.0,128000
827.0,2.0,1.0,107500
334.0,1.0,1.0,39300
1414.0,3.0,2.5,178000
1347.0,3.0,2.0,107500
1724.0,3.0,2.5,188000
864.0,3.0,1.0,111250
1159.0,3.0,1.5,158000
1601.0,3.0,3.0,272000
1838.0,2.0,3.0,315000
2285.0,4.0,2.5,248000
1680.0,3.0,3.0,213250
767.0,1.0,2.0,133000
1496.0,3.0,3.5,179665
2183.0,4.0,2.5,229000
1635.0,3.0,1.5,210000
768.0,2.0,2.0,129500
825.0,2.0,2.0,125000
2094.0,4.0,2.5,263000
1069.0,2.0,2.0,140000
928.0,3.0,1.0,112500
1717.0,3.0,2.0,255500
1126.0,2.0,2.0,108000
2046.0,3.0,3.5,284000
1048.0,2.0,1.0,113000
1092.0,2.0,2.0,141000
1336.0,3.0,1.5,108000
1446.0,3.0,3.0,175000
1557.0,2.0,2.0,234000
1392.0,3.0,2.5,121500
1389.0,2.0,2.0,170000
996.0,3.0,2.0,108000
1674.0,4.0,2.0,185000
2295.0,4.0,3.5,268000
1647.0,4.0,2.5,128000
2504.0,4.0,2.5,325000
1535.0,3.0,2.0,214000
2132.0,1.0,2.5,316600
943.0,2.0,2.0,135960
1728.0,6.0,2.0,142600
864.0,2.0,2.0,120000
1692.0,3.0,2.5,224500
1430.0,3.0,2.5,170000
1109.0,3.0,1.5,139000
1216.0,2.0,1.0,118500
1477.0,3.0,2.5,145000
1320.0,3.0,2.0,164500
1392.0,2.0,2.0,146000
1795.0,4.0,2.0,131500
1429.0,3.0,1.5,181900
2042.0,3.0,2.5,253293
816.0,3.0,2.0,118500
2775.0,3.0,3.5,325000
1573.0,3.0,1.0,133000
2028.0,2.0,3.0,369900
838.0,2.0,2.0,130000
860.0,2.0,2.0,137000
1473.0,1.0,3.0,143000
935.0,2.0,1.0,79500
1582.0,3.0,2.5,185900
2296.0,3.0,3.5,451950
816.0,2.0,2.0,138000
848.0,1.0,2.0,140000
924.0,3.0,1.0,110000
1826.0,3.0,3.0,319000
1368.0,3.0,1.0,114504
1402.0,2.0,2.0,194201
1647.0,3.0,3.0,217500
1556.0,3.0,3.5,151000
1904.0,3.0,3.5,275000
1375.0,3.0,1.5,141000
1915.0,3.0,3.5,220000
1200.0,2.0,2.5,151000
1494.0,3.0,3.0,221000
1986.0,3.0,2.5,205000
1040.0,3.0,2.0,152000
2008.0,3.0,4.0,225000
3194.0,4.0,2.5,359100
1029.0,3.0,2.0,118500
2153.0,3.0,3.5,313000
1032.0,3.0,2.5,148000
1872.0,3.0,3.5,261500
1120.0,3.0,1.0,147000
630.0,1.0,2.0,75500
1054.0,3.0,2.0,137500
1509.0,3.0,3.5,183200
832.0,2.0,1.0,105500
1828.0,3.0,2.0,314813
2262.0,4.0,3.5,305000
864.0,2.0,2.0,67000
2614.0,4.0,2.5,240000
980.0,3.0,1.0,135000
1512.0,2.0,2.5,168500
1790.0,4.0,3.0,165150
1116.0,3.0,1.5,160000
1422.0,3.0,1.0,139900
1520.0,3.0,2.0,153000
2080.0,5.0,2.5,135000
1350.0,3.0,2.5,168500
1750.0,3.0,1.0,124000
1554.0,2.0,2.0,209500
1411.0,3.0,2.0,82500
1056.0,3.0,1.5,139400
1056.0,0.0,2.0,144000
3395.0,8.0,2.0,200000
800.0,1.0,1.0,60000
1387.0,3.0,2.0,93000
796.0,2.0,1.0,85000
1567.0,1.0,3.0,264561
1518.0,1.0,1.5,274000
1929.0,3.0,3.5,226000
2704.0,4.0,3.5,345000
1620.0,4.0,2.5,152000
1766.0,2.0,3.5,370878
981.0,3.0,2.5,143250
1048.0,3.0,1.0,98300
1094.0,3.0,1.0,155000
1839.0,4.0,1.5,155000
630.0,1.0,2.0,84500
1665.0,3.0,2.5,205950
1510.0,4.0,2.0,108000
1716.0,2.0,2.5,191000
1469.0,3.0,1.0,135000
2113.0,2.0,3.5,350000
1092.0,3.0,1.5,88000
1053.0,3.0,2.5,145500
1502.0,3.0,1.5,149000
1458.0,3.0,1.5,97500
1486.0,3.0,2.0,167000
1935.0,3.0,2.5,197900
2448.0,4.0,3.5,402000
1392.0,2.0,2.0,110000
1181.0,3.0,3.0,137500
2097.0,1.0,2.5,423000
1936.0,3.0,2.5,230500
2380.0,3.0,2.5,129000
1679.0,3.0,3.0,193500
1437.0,3.0,2.5,168000
1180.0,2.0,1.0,137500
1476.0,3.0,3.5,173500
1369.0,3.0,3.0,103600
1208.0,3.0,2.5,165000
1839.0,3.0,3.0,257500
1136.0,3.0,2.0,140000
1441.0,3.0,2.5,148500
1774.0,4.0,3.0,87000
792.0,2.0,1.0,109500
2046.0,3.0,2.5,372500
988.0,3.0,2.0,128500
923.0,2.0,2.0,143000
1520.0,3.0,1.0,159434
1291.0,2.0,2.0,173000
1668.0,3.0,3.0,285000
1839.0,4.0,2.5,221000
2090.0,3.0,3.0,207500
1761.0,3.0,3.0,227875
1102.0,2.0,2.5,148800
1419.0,2.0,3.0,392000
1362.0,2.0,2.0,194700
848.0,1.0,2.0,141000
4316.0,4.0,4.0,755000
2519.0,4.0,3.5,335000
1073.0,2.0,1.0,108480
1539.0,3.0,1.5,141500
1137.0,2.0,3.0,176000
616.0,2.0,1.0,89000
1148.0,2.0,1.5,123500
894.0,3.0,2.0,138500
1391.0,2.0,2.0,196000
1800.0,3.0,3.0,312500
1164.0,3.0,1.5,140000
2576.0,4.0,2.5,361919
1812.0,4.0,2.0,140000
1484.0,3.0,3.0,213000
1092.0,3.0,2.0,55000
1824.0,2.0,3.0,302000
1324.0,2.0,3.0,254000
1456.0,3.0,2.5,179540
904.0,3.0,1.0,109900
729.0,2.0,1.0,52000
1178.0,2.0,1.0,102776
1228.0,2.0,3.0,189000
960.0,3.0,2.0,129000
1479.0,3.0,2.5,130500
1350.0,3.0,2.0,165000
2554.0,3.0,1.5,159500
1178.0,3.0,2.0,157000
2418.0,3.0,3.5,341000
971.0,3.0,1.5,128500
1742.0,2.0,3.0,275000
848.0,1.0,2.0,143000
864.0,3.0,1.0,124500
1470.0,4.0,2.0,135000
1698.0,3.0,3.0,320000
864.0,3.0,1.0,120500
1680.0,3.0,3.0,222000
1232.0,2.0,3.0,194500
1776.0,4.0,3.0,110000
1208.0,2.0,1.0,103000
1616.0,2.0,3.0,236500
1146.0,3.0,3.0,187500
2031.0,3.0,2.5,222500
1144.0,3.0,2.0,131400
948.0,3.0,1.0,108000
1768.0,2.0,1.5,163000
1040.0,2.0,2.0,93500
1801.0,3.0,2.5,239900
1200.0,3.0,6.0,179000
1728.0,3.0,2.5,190000
1432.0,2.0,2.0,132000
912.0,3.0,2.5,142000
1349.0,3.0,2.0,179000
1464.0,3.0,2.5,175000
1337.0,2.0,3.0,180000
2715.0,4.0,4.0,299800
2256.0,4.0,2.5,236000
2640.0,4.0,1.5,265979
1720.0,3.0,3.0,260400
1529.0,4.0,2.0,98000
1140.0,3.0,1.0,96500
1320.0,3.0,2.5,162000
1494.0,3.0,3.0,217000
2098.0,3.0,2.5,275500
1026.0,3.0,2.0,156000
1471.0,3.0,2.5,172500
1768.0,3.0,2.5,212000
1386.0,3.0,2.5,158900
1501.0,3.0,2.5,179400
2531.0,4.0,2.5,290000
864.0,2.0,1.0,127500
1301.0,2.0,1.0,100000
1547.0,3.0,2.5,215200
2365.0,3.0,3.5,337000
1494.0,2.0,2.5,270000
1506.0,2.0,2.0,264132
1714.0,3.0,2.5,196500
1750.0,4.0,3.0,160000
1836.0,3.0,2.0,216837
3279.0,4.0,4.5,538000
858.0,2.0,2.0,134900
1220.0,2.0,1.0,102000
1117.0,3.0,2.0,107000
912.0,2.0,1.0,114500
1973.0,3.0,2.0,395000
1204.0,2.0,3.0,162000
1614.0,3.0,2.0,221500
894.0,3.0,2.0,142500
2020.0,4.0,2.0,144000
1004.0,2.0,2.0,135000
1253.0,3.0,2.0,176000
1603.0,3.0,2.5,175900
1430.0,3.0,2.0,187100
1110.0,1.0,2.0,165500
1484.0,3.0,2.0,128000
1342.0,3.0,2.0,161500
1652.0,4.0,3.0,139000
2084.0,4.0,3.5,233000
901.0,2.0,1.0,107900
2087.0,5.0,2.5,187500
1145.0,2.0,2.0,160200
1062.0,3.0,2.0,146800
2013.0,3.0,3.5,269790
1496.0,3.0,2.0,225000
1895.0,3.0,2.5,194500
1564.0,3.0,2.5,171000
1285.0,3.0,1.5,143500
773.0,2.0,1.0,110000
3140.0,4.0,3.5,485000
1768.0,3.0,2.5,175000
1688.0,4.0,3.5,200000
1196.0,2.0,2.0,109900
1456.0,3.0,3.5,189000
2822.0,4.0,3.5,582933
1128.0,2.0,1.0,118000
1428.0,3.0,2.0,227680
980.0,3.0,2.0,135500
1576.0,3.0,3.5,223500
1086.0,3.0,2.0,159950
2138.0,2.0,2.0,106000
1309.0,3.0,2.5,181000
848.0,1.0,2.0,144500
1044.0,2.0,1.0,55993
1442.0,4.0,1.5,157900
1250.0,3.0,2.0,116000
1661.0,3.0,2.0,224900
1008.0,2.0,1.0,137000
1689.0,3.0,3.0,271000
1052.0,3.0,2.0,155000
1358.0,2.0,3.0,224000
1640.0,3.0,2.5,183000
936.0,2.0,1.0,93000
1733.0,3.0,2.5,225000
1489.0,3.0,2.0,139500
1489.0,3.0,2.0,232600
2084.0,2.0,3.0,385000
784.0,2.0,2.0,109500
1434.0,3.0,2.0,189000
2126.0,3.0,3.0,185000
1223.0,2.0,2.5,147400
1392.0,3.0,2.5,166000
1200.0,2.0,2.5,151000
1829.0,3.0,3.5,237000
1516.0,3.0,1.5,167000
1144.0,3.0,2.0,139950
1067.0,2.0,2.0,128000
1559.0,2.0,2.0,153500
987.0,2.0,2.5,100000
1099.0,3.0,1.5,144000
1200.0,3.0,1.0,130500
1482.0,4.0,2.0,140000
1539.0,3.0,2.0,157500
1165.0,3.0,2.5,174900
1800.0,6.0,2.0,141000
1416.0,4.0,1.5,153900
1701.0,3.0,3.0,171000
1775.0,3.0,3.5,213000
864.0,3.0,2.0,133500
2358.0,5.0,3.0,240000
1855.0,3.0,2.5,187000
848.0,1.0,2.0,131500
1456.0,2.0,2.0,215000
1646.0,4.0,2.0,164000
1445.0,3.0,1.5,158000
1779.0,3.0,2.5,170000
1040.0,3.0,2.5,127000
1026.0,3.0,2.0,147000
1481.0,3.0,2.5,174000
1370.0,3.0,2.0,152000
2654.0,4.0,3.5,250000
1426.0,3.0,1.5,189950
1039.0,3.0,2.5,131500
1097.0,3.0,2.0,152000
1148.0,3.0,2.0,132500
1372.0,3.0,2.0,250580
1002.0,3.0,2.0,148500
1646.0,3.0,2.0,248900
1120.0,3.0,2.5,129000
2320.0,2.0,2.0,169000
1949.0,3.0,3.5,236000
894.0,2.0,1.0,109500
1682.0,3.0,2.5,200500
910.0,3.0,1.0,116000
1268.0,3.0,1.0,133000
1131.0,3.0,1.5,66500
2610.0,4.0,2.5,303477
1040.0,3.0,2.0,132250
2224.0,4.0,3.5,350000
1155.0,3.0,2.0,148000
